id,Info_Source
1000206,WhatsApp
1000206,Social Media (not WhatsApp)
1000206,Health unit/Health care worker
1000206,Family members
1000206,Friends
1000206,Community health workers
1000206,Other community mobilisers
1000206,Community leaders
1000206,Traditional healers
1000206,Any person from the community
1000318,Radio
1000318,TV
1000318,WhatsApp
1000318,Social Media (not WhatsApp)
1000318,Family members
1000318,Friends
1000318,Any person from the community
1000271,Radio
1000271,TV
1000271,WhatsApp
1000271,Social Media (not WhatsApp)
1000271,Family members
1000271,Friends
1000271,Religious leaders
1000295,Radio
1000295,TV
1000295,WhatsApp
1000295,Social Media (not WhatsApp)
1000295,Family members
1000158,Radio
1000158,TV
1000158,WhatsApp
1000158,Social Media (not WhatsApp)
1000158,Family members
1000158,Friends
1000158,Community leaders
1000158,Religious leaders
1000246,Radio
1000246,TV
1000246,Social Media (not WhatsApp)
1000246,Family members
1000246,Friends
1000246,Any person from the community
1000196,Radio
1000196,TV
1000196,WhatsApp
1000196,Social Media (not WhatsApp)
1000196,Health unit/Health care worker
1000196,Family members
1000196,Friends
1000189,Radio
1000189,TV
1000189,WhatsApp
1000189,Social Media (not WhatsApp)
1000189,Health unit/Health care worker
1000189,Family members
1000189,Friends
1000189,Community health workers
1000189,Community leaders
1000189,Religious leaders
1000189,Any person from the community
1000268,Radio
1000268,TV
1000268,WhatsApp
1000268,Social Media (not WhatsApp)
1000268,Health unit/Health care worker
1000268,Family members
1000268,Friends
1000268,Community health workers
1000268,Community leaders
1000268,Religious leaders
1000268,Any person from the community
1000203,Radio
1000203,TV
1000203,WhatsApp
1000203,Social Media (not WhatsApp)
1000203,Health unit/Health care worker
1000203,Friends
1000114,Radio
1000114,TV
1000114,WhatsApp
1000114,Social Media (not WhatsApp)
1000114,Health unit/Health care worker
1000114,Family members
1000114,Friends
1000114,Community health workers
1000114,Any person from the community
1000219,Radio
1000219,TV
1000219,WhatsApp
1000219,Social Media (not WhatsApp)
1000219,Health unit/Health care worker
1000219,Family members
1000219,Friends
1000219,Community health workers
1000302,Radio
1000302,TV
1000302,WhatsApp
1000302,Social Media (not WhatsApp)
1000302,Family members
1000302,Friends
1000302,Community health workers
1000302,Community leaders
1000302,Religious leaders
1000302,Any person from the community
1000260,Radio
1000260,TV
1000260,WhatsApp
1000260,Social Media (not WhatsApp)
1000260,Health unit/Health care worker
1000239,Radio
1000239,TV
1000239,WhatsApp
1000239,Social Media (not WhatsApp)
1000239,Health unit/Health care worker
1000239,Family members
1000239,Friends
1000239,Community health workers
1000239,Red Cross Red Crescent volunteers
1000239,Other community mobilisers
1000239,Community leaders
1000239,Religious leaders
1000239,Traditional healers
1000239,Traditional midwives
1000194,TV
1000194,WhatsApp
1000194,Social Media (not WhatsApp)
1000194,Religious leaders
1000198,Radio
1000198,TV
1000198,WhatsApp
1000198,Social Media (not WhatsApp)
1000198,Family members
1000198,Friends
1000198,Religious leaders
1000198,Any person from the community
1000162,Radio
