id,Prevention_Knowledge
1000118,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000200,Wash your hands regularly using alcohol or soap and water
1000200,Cover your mouth and nose when coughing or sneezing
1000200,Avoid close contact with anyone who has a fever and cough
1000248,Wash your hands regularly using alcohol or soap and water
1000248,Cover your mouth and nose when coughing or sneezing
1000248,Avoid close contact with anyone who has a fever and cough
1000248,Cook meat and eggs well
1000248,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000280,Wash your hands regularly using alcohol or soap and water
1000280,Cover your mouth and nose when coughing or sneezing
1000280,Avoid close contact with anyone who has a fever and cough
1000234,Wash your hands regularly using alcohol or soap and water
1000234,Cover your mouth and nose when coughing or sneezing
1000234,Avoid close contact with anyone who has a fever and cough
1000282,Wash your hands regularly using alcohol or soap and water
1000282,Cover your mouth and nose when coughing or sneezing
1000282,Avoid close contact with anyone who has a fever and cough
1000282,Cook meat and eggs well
1000282,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000228,Wash your hands regularly using alcohol or soap and water
1000228,Cover your mouth and nose when coughing or sneezing
1000228,Avoid close contact with anyone who has a fever and cough
1000242,Wash your hands regularly using alcohol or soap and water
1000242,Cover your mouth and nose when coughing or sneezing
1000242,Avoid close contact with anyone who has a fever and cough
1000312,Wash your hands regularly using alcohol or soap and water
1000312,Cover your mouth and nose when coughing or sneezing
1000312,Avoid close contact with anyone who has a fever and cough
1000281,Wash your hands regularly using alcohol or soap and water
1000281,Cover your mouth and nose when coughing or sneezing
1000281,Avoid close contact with anyone who has a fever and cough
1000281,Cook meat and eggs well
1000281,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000120,Wash your hands regularly using alcohol or soap and water
1000120,Cover your mouth and nose when coughing or sneezing
1000120,Avoid close contact with anyone who has a fever and cough
1000230,Wash your hands regularly using alcohol or soap and water
1000230,Cover your mouth and nose when coughing or sneezing
1000209,Wash your hands regularly using alcohol or soap and water
1000209,Cover your mouth and nose when coughing or sneezing
1000209,Avoid close contact with anyone who has a fever and cough
1000276,Wash your hands regularly using alcohol or soap and water
1000276,Cover your mouth and nose when coughing or sneezing
1000276,Avoid close contact with anyone who has a fever and cough
1000276,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000232,Wash your hands regularly using alcohol or soap and water
1000232,Cover your mouth and nose when coughing or sneezing
1000232,Avoid close contact with anyone who has a fever and cough
1000245,Wash your hands regularly using alcohol or soap and water
1000245,Cover your mouth and nose when coughing or sneezing
1000245,Avoid close contact with anyone who has a fever and cough
1000125,Wash your hands regularly using alcohol or soap and water
1000125,Cover your mouth and nose when coughing or sneezing
1000125,Avoid close contact with anyone who has a fever and cough
1000286,Wash your hands regularly using alcohol or soap and water
1000286,Drink only treated water
1000286,Cover your mouth and nose when coughing or sneezing
1000286,Avoid close contact with anyone who has a fever and cough
1000286,Eliminate standing water
1000286,Cook meat and eggs well
1000286,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000255,Wash your hands regularly using alcohol or soap and water
1000255,Drink only treated water
1000255,Cover your mouth and nose when coughing or sneezing
1000255,Avoid close contact with anyone who has a fever and cough
1000255,Cook meat and eggs well
1000255,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000272,Sleep under the mosquito net
1000272,Wash your hands regularly using alcohol or soap and water
1000272,Cover your mouth and nose when coughing or sneezing
1000272,Avoid close contact with anyone who has a fever and cough
1000272,Cook meat and eggs well
1000272,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000272,"Drinking warm water, use of sanitizer ,use of nose mask, social distance"
1000249,Wash your hands regularly using alcohol or soap and water
1000249,Drink only treated water
1000249,Cover your mouth and nose when coughing or sneezing
1000249,Avoid close contact with anyone who has a fever and cough
1000249,Cook meat and eggs well
1000258,Wash your hands regularly using alcohol or soap and water
1000258,Drink only treated water
1000258,Cover your mouth and nose when coughing or sneezing
1000258,Avoid close contact with anyone who has a fever and cough
1000258,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000294,Wash your hands regularly using alcohol or soap and water
1000294,Cover your mouth and nose when coughing or sneezing
1000294,Avoid close contact with anyone who has a fever and cough
1000216,Wash your hands regularly using alcohol or soap and water
1000216,Drink only treated water
1000216,Cover your mouth and nose when coughing or sneezing
1000216,Avoid close contact with anyone who has a fever and cough
1000216,Cook meat and eggs well
1000216,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000156,Wash your hands regularly using alcohol or soap and water
1000156,Cover your mouth and nose when coughing or sneezing
1000156,Avoid close contact with anyone who has a fever and cough
1000156,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000102,Wash your hands regularly using alcohol or soap and water
1000102,Cover your mouth and nose when coughing or sneezing
1000102,Avoid close contact with anyone who has a fever and cough
1000102,Cook meat and eggs well
1000102,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000166,Wash your hands regularly using alcohol or soap and water
1000166,Cover your mouth and nose when coughing or sneezing
1000166,Avoid close contact with anyone who has a fever and cough
1000207,Wash your hands regularly using alcohol or soap and water
1000207,Cover your mouth and nose when coughing or sneezing
1000207,Avoid close contact with anyone who has a fever and cough
1000207,Cook meat and eggs well
1000207,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000309,Wash your hands regularly using alcohol or soap and water
1000309,Cover your mouth and nose when coughing or sneezing
1000309,Avoid close contact with anyone who has a fever and cough
1000202,Wash your hands regularly using alcohol or soap and water
1000202,Cover your mouth and nose when coughing or sneezing
1000202,Avoid close contact with anyone who has a fever and cough
1000202,Cook meat and eggs well
1000202,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000100,Wash your hands regularly using alcohol or soap and water
1000100,Cover your mouth and nose when coughing or sneezing
1000100,Avoid close contact with anyone who has a fever and cough
1000299,Wash your hands regularly using alcohol or soap and water
1000299,Cover your mouth and nose when coughing or sneezing
1000299,Avoid close contact with anyone who has a fever and cough
1000241,Wash your hands regularly using alcohol or soap and water
1000241,Drink only treated water
1000241,Cover your mouth and nose when coughing or sneezing
1000241,Avoid close contact with anyone who has a fever and cough
1000303,Wash your hands regularly using alcohol or soap and water
1000303,Drink only treated water
1000303,Cover your mouth and nose when coughing or sneezing
1000303,Avoid close contact with anyone who has a fever and cough
1000303,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000288,Wash your hands regularly using alcohol or soap and water
1000288,Cover your mouth and nose when coughing or sneezing
1000288,Avoid close contact with anyone who has a fever and cough
1000291,Wash your hands regularly using alcohol or soap and water
1000291,Cover your mouth and nose when coughing or sneezing
1000291,Avoid close contact with anyone who has a fever and cough
1000291,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000183,Wash your hands regularly using alcohol or soap and water
1000183,Drink only treated water
1000183,Cover your mouth and nose when coughing or sneezing
1000183,Avoid close contact with anyone who has a fever and cough
1000183,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000316,Wash your hands regularly using alcohol or soap and water
1000316,Cover your mouth and nose when coughing or sneezing
1000316,Avoid close contact with anyone who has a fever and cough
1000316,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000223,Wash your hands regularly using alcohol or soap and water
1000223,Cover your mouth and nose when coughing or sneezing
1000173,Wash your hands regularly using alcohol or soap and water
1000173,Cover your mouth and nose when coughing or sneezing
1000173,Avoid close contact with anyone who has a fever and cough
1000293,Wash your hands regularly using alcohol or soap and water
1000293,Cover your mouth and nose when coughing or sneezing
1000293,Avoid close contact with anyone who has a fever and cough
1000293,Cook meat and eggs well
1000293,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000284,Wash your hands regularly using alcohol or soap and water
1000284,Cover your mouth and nose when coughing or sneezing
1000284,Avoid close contact with anyone who has a fever and cough
1000186,Wash your hands regularly using alcohol or soap and water
1000186,Drink only treated water
1000186,Cover your mouth and nose when coughing or sneezing
1000186,Avoid close contact with anyone who has a fever and cough
1000186,Cook meat and eggs well
1000186,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000129,Wash your hands regularly using alcohol or soap and water
1000129,Drink only treated water
1000129,Cover your mouth and nose when coughing or sneezing
1000129,Avoid close contact with anyone who has a fever and cough
1000129,Eliminate standing water
1000129,Cook meat and eggs well
1000129,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000191,Wash your hands regularly using alcohol or soap and water
1000191,Cover your mouth and nose when coughing or sneezing
1000191,Avoid close contact with anyone who has a fever and cough
1000251,Wash your hands regularly using alcohol or soap and water
1000251,Cover your mouth and nose when coughing or sneezing
1000251,Avoid close contact with anyone who has a fever and cough
1000179,Wash your hands regularly using alcohol or soap and water
1000179,Cover your mouth and nose when coughing or sneezing
1000179,Avoid close contact with anyone who has a fever and cough
1000179,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000178,Wash your hands regularly using alcohol or soap and water
1000178,Cover your mouth and nose when coughing or sneezing
1000178,Avoid close contact with anyone who has a fever and cough
1000178,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000107,Wash your hands regularly using alcohol or soap and water
1000107,Cover your mouth and nose when coughing or sneezing
1000321,Wash your hands regularly using alcohol or soap and water
1000321,Cover your mouth and nose when coughing or sneezing
1000321,Avoid close contact with anyone who has a fever and cough
1000321,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000115,Wash your hands regularly using alcohol or soap and water
1000115,Cover your mouth and nose when coughing or sneezing
1000115,Avoid close contact with anyone who has a fever and cough
1000259,Wash your hands regularly using alcohol or soap and water
1000259,Drink only treated water
1000259,Cover your mouth and nose when coughing or sneezing
1000259,Avoid close contact with anyone who has a fever and cough
1000259,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000105,Wash your hands regularly using alcohol or soap and water
1000105,Cover your mouth and nose when coughing or sneezing
1000105,Cook meat and eggs well
1000279,Wash your hands regularly using alcohol or soap and water
1000279,Drink only treated water
1000279,Cover your mouth and nose when coughing or sneezing
1000279,Avoid close contact with anyone who has a fever and cough
1000279,Eliminate standing water
1000279,Cook meat and eggs well
1000279,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000149,Wash your hands regularly using alcohol or soap and water
1000149,Cover your mouth and nose when coughing or sneezing
1000149,Avoid close contact with anyone who has a fever and cough
1000149,Cook meat and eggs well
1000149,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000208,Wash your hands regularly using alcohol or soap and water
1000208,Cover your mouth and nose when coughing or sneezing
1000208,Avoid close contact with anyone who has a fever and cough
1000142,Wash your hands regularly using alcohol or soap and water
1000142,Cover your mouth and nose when coughing or sneezing
1000142,Avoid close contact with anyone who has a fever and cough
1000222,Wash your hands regularly using alcohol or soap and water
1000222,Drink only treated water
1000222,Cover your mouth and nose when coughing or sneezing
1000222,Avoid close contact with anyone who has a fever and cough
1000222,Cook meat and eggs well
1000222,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000308,Wash your hands regularly using alcohol or soap and water
1000308,Drink only treated water
1000308,Cover your mouth and nose when coughing or sneezing
1000308,Avoid close contact with anyone who has a fever and cough
1000146,Wash your hands regularly using alcohol or soap and water
1000146,Cover your mouth and nose when coughing or sneezing
1000146,Avoid close contact with anyone who has a fever and cough
1000146,Cook meat and eggs well
1000146,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000298,Wash your hands regularly using alcohol or soap and water
1000298,Cover your mouth and nose when coughing or sneezing
1000298,Avoid close contact with anyone who has a fever and cough
1000298,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000298,Wearing of nose mask
1000236,Wash your hands regularly using alcohol or soap and water
1000236,Cover your mouth and nose when coughing or sneezing
1000236,Avoid close contact with anyone who has a fever and cough
1000236,Cook meat and eggs well
1000236,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000297,Wash your hands regularly using alcohol or soap and water
1000297,Drink only treated water
1000297,Cover your mouth and nose when coughing or sneezing
1000297,Avoid close contact with anyone who has a fever and cough
1000297,Cook meat and eggs well
1000297,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000296,Wash your hands regularly using alcohol or soap and water
1000296,Cover your mouth and nose when coughing or sneezing
1000296,Avoid close contact with anyone who has a fever and cough
1000296,Cook meat and eggs well
1000296,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000250,Wash your hands regularly using alcohol or soap and water
1000250,Cover your mouth and nose when coughing or sneezing
1000145,Wash your hands regularly using alcohol or soap and water
1000145,Cover your mouth and nose when coughing or sneezing
1000145,Avoid close contact with anyone who has a fever and cough
1000145,Cook meat and eggs well
1000145,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000273,Wash your hands regularly using alcohol or soap and water
1000273,Cover your mouth and nose when coughing or sneezing
1000273,Avoid close contact with anyone who has a fever and cough
1000127,Wash your hands regularly using alcohol or soap and water
1000127,Cover your mouth and nose when coughing or sneezing
1000127,Avoid close contact with anyone who has a fever and cough
1000247,Wash your hands regularly using alcohol or soap and water
1000247,Cover your mouth and nose when coughing or sneezing
1000247,Avoid close contact with anyone who has a fever and cough
1000227,Wash your hands regularly using alcohol or soap and water
1000227,Drink only treated water
1000227,Cover your mouth and nose when coughing or sneezing
1000227,Avoid close contact with anyone who has a fever and cough
1000227,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000265,Wash your hands regularly using alcohol or soap and water
1000265,Cover your mouth and nose when coughing or sneezing
1000265,Avoid close contact with anyone who has a fever and cough
1000265,Cook meat and eggs well
1000265,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000311,Wash your hands regularly using alcohol or soap and water
1000311,Cover your mouth and nose when coughing or sneezing
1000311,Avoid close contact with anyone who has a fever and cough
1000311,Cook meat and eggs well
