id,Trust_Channel
1000164,Social Media (not WhatsApp)
1000110,TV
1000103,Radio
1000256,TV
1000264,TV
1000193,Radio
1000193,TV
1000193,Social Media (not WhatsApp)
1000193,Health unit/Health care worker
1000193,Family members
1000193,Community health workers
1000244,TV
1000244,Health unit/Health care worker
1000283,Radio
1000283,TV
1000283,WhatsApp
1000283,Social Media (not WhatsApp)
1000283,Health unit/Health care worker
1000283,Friends
1000283,Community health workers
1000283,Community leaders
1000283,Religious leaders
1000159,TV
1000159,Health unit/Health care worker
1000159,Family members
1000159,Friends
1000262,Radio
1000262,TV
1000262,Health unit/Health care worker
1000262,Community health workers
1000126,Radio
1000126,TV
1000126,WhatsApp
1000126,Social Media (not WhatsApp)
1000126,Health unit/Health care worker
1000126,Community health workers
1000254,Radio
1000254,TV
1000254,WhatsApp
1000254,Family members
1000254,Friends
1000254,Community leaders
1000254,Religious leaders
1000152,TV
1000152,Social Media (not WhatsApp)
1000238,Radio
1000238,TV
1000238,Health unit/Health care worker
1000238,Community health workers
1000277,Radio
1000277,TV
1000277,Family members
1000277,Friends
1000277,Religious leaders
1000106,TV
1000130,Radio
1000130,TV
1000130,WhatsApp
1000130,Community health workers
1000130,Community leaders
1000130,Religious leaders
1000130,Health Related NGOs
1000224,Radio
1000224,TV
1000224,WhatsApp
1000224,Social Media (not WhatsApp)
1000224,Community health workers
1000224,Community leaders
1000143,Radio
1000143,TV
1000161,Radio
1000161,TV
1000161,Health unit/Health care worker
1000161,Community health workers
1000137,Radio
1000137,TV
1000201,TV
1000201,Community health workers
1000300,Radio
1000300,WhatsApp
1000300,Social Media (not WhatsApp)
1000300,Family members
1000300,Friends
1000300,Community health workers
1000300,Community leaders
1000300,Religious leaders
1000300,Any person from the community
1000317,TV
1000314,Radio
1000314,TV
1000235,TV
1000320,Radio
1000320,TV
1000320,WhatsApp
1000320,Social Media (not WhatsApp)
1000320,Health unit/Health care worker
1000320,Family members
1000320,Friends
1000320,Community leaders
1000320,Religious leaders
1000320,Traditional midwives
1000304,Radio
1000304,TV
1000304,WhatsApp
1000304,Social Media (not WhatsApp)
1000304,Health unit/Health care worker
1000304,Family members
1000304,Friends
1000304,Community health workers
1000304,Religious leaders
1000304,Any person from the community
1000195,Radio
1000195,TV
1000195,Community health workers
1000195,Community leaders
1000195,Religious leaders
1000292,Radio
1000292,TV
1000292,Health unit/Health care worker
1000163,TV
1000163,WhatsApp
1000163,Social Media (not WhatsApp)
1000307,Radio
1000307,TV
1000307,Health unit/Health care worker
1000153,TV
1000153,Health unit/Health care worker
1000132,Radio
1000132,TV
1000132,Health unit/Health care worker
1000132,Community health workers
1000168,Radio
1000168,TV
1000168,WhatsApp
1000168,Social Media (not WhatsApp)
1000306,Radio
1000306,TV
1000306,Family members
1000180,TV
1000151,Social Media (not WhatsApp)
1000165,Radio
1000165,TV
1000165,Family members
1000165,Friends
1000165,Religious leaders
1000154,TV
1000154,Social Media (not WhatsApp)
1000154,Health unit/Health care worker
1000154,Religious leaders
1000231,Social Media (not WhatsApp)
1000231,Health unit/Health care worker
1000231,Community health workers
1000231,Red Cross Red Crescent volunteers
1000231,Community leaders
1000231,Religious leaders
1000269,Radio
1000269,TV
1000269,Family members
1000269,Community health workers
1000175,TV
1000175,Health unit/Health care worker
1000188,Health unit/Health care worker
1000123,TV
1000123,Social Media (not WhatsApp)
1000123,Religious leaders
1000109,Community health workers
1000270,Radio
1000229,Radio
1000229,TV
1000229,Health unit/Health care worker
1000150,Radio
1000150,TV
1000150,WhatsApp
1000319,Radio
1000319,TV
1000319,WhatsApp
1000319,Health unit/Health care worker
1000319,Community health workers
1000319,Red Cross Red Crescent volunteers
1000124,TV
1000124,Health unit/Health care worker
1000160,Radio
1000160,TV
1000160,WhatsApp
1000160,Social Media (not WhatsApp)
1000184,Radio
1000184,TV
1000184,Social Media (not WhatsApp)
1000184,Friends
1000184,Community health workers
1000184,Other community mobilisers
1000172,Radio
1000172,TV
1000172,WhatsApp
1000172,Social Media (not WhatsApp)
1000172,Friends
1000172,Religious leaders
1000240,Radio
1000240,TV
1000240,Social Media (not WhatsApp)
1000240,Community health workers
1000112,TV
1000263,Radio
1000263,TV
1000263,WhatsApp
1000263,Social Media (not WhatsApp)
1000263,Health unit/Health care worker
1000263,Friends
1000322,Radio
1000322,TV
1000322,WhatsApp
1000138,Radio
1000138,TV
1000138,WhatsApp
1000138,Social Media (not WhatsApp)
1000138,Health unit/Health care worker
1000138,Family members
1000138,Friends
1000138,Community health workers
1000138,Red Cross Red Crescent volunteers
1000138,Other community mobilisers
1000138,Community leaders
1000138,Religious leaders
1000138,Traditional midwives
1000138,Any person from the community
1000310,TV
1000310,Health unit/Health care worker
1000257,TV
1000287,Radio
1000287,TV
1000287,WhatsApp
1000287,Health unit/Health care worker
1000287,Family members
1000287,Friends
1000287,Community health workers
1000287,Community leaders
1000287,Religious leaders
1000287,Traditional midwives
1000213,TV
1000213,Health unit/Health care worker
1000218,Radio
1000218,TV
1000218,Health unit/Health care worker
1000305,TV
1000305,Health unit/Health care worker
1000118,TV
1000118,Health unit/Health care worker
1000200,Radio
1000200,TV
1000200,Health unit/Health care worker
1000200,Community health workers
1000200,Red Cross Red Crescent volunteers
1000248,Radio
1000248,TV
1000248,Family members
1000248,Community leaders
1000248,Religious leaders
1000280,TV
1000234,Radio
1000234,TV
1000234,WhatsApp
1000234,Health unit/Health care worker
1000234,Community health workers
1000234,Religious leaders
1000282,TV
1000228,Radio
1000228,TV
1000228,Health unit/Health care worker
1000242,Radio
1000242,TV
1000242,WhatsApp
1000312,Radio
1000312,TV
1000312,Health unit/Health care worker
1000312,Community health workers
1000281,Radio
1000281,TV
1000281,Social Media (not WhatsApp)
1000281,Family members
1000281,Friends
1000281,Community health workers
1000281,Community leaders
1000281,Religious leaders
1000281,Any person from the community
1000120,TV
1000120,WhatsApp
1000230,Radio
1000230,TV
1000230,WhatsApp
1000209,Radio
1000276,Radio
1000276,TV
1000276,Social Media (not WhatsApp)
1000232,Radio
1000232,TV
1000232,Health unit/Health care worker
1000232,Family members
1000232,Friends
1000232,Community health workers
1000232,Religious leaders
1000245,Radio
1000245,TV
1000125,Radio
1000125,TV
1000125,Social Media (not WhatsApp)
1000125,Health unit/Health care worker
1000125,Family members
1000125,Friends
1000125,Community health workers
1000125,Red Cross Red Crescent volunteers
1000125,Community leaders
1000125,Religious leaders
1000125,Traditional healers
1000286,TV
1000286,Community health workers
1000255,Radio
1000255,TV
1000272,Radio
1000272,TV
1000272,Health unit/Health care worker
1000249,Radio
1000249,TV
1000249,Health unit/Health care worker
1000249,Community health workers
1000249,Any person from the community
1000258,TV
1000294,Radio
1000216,Radio
1000216,TV
1000216,Health unit/Health care worker
1000216,Religious leaders
1000156,Radio
1000156,TV
1000156,WhatsApp
1000156,Family members
1000156,Friends
1000102,TV
1000102,Health unit/Health care worker
1000166,Radio
1000166,TV
1000166,Health unit/Health care worker
1000166,Family members
1000166,Friends
1000207,Radio
1000207,TV
1000207,Health unit/Health care worker
1000207,Family members
1000207,Friends
1000207,Community health workers
1000309,Radio
1000202,Radio
1000202,TV
1000202,WhatsApp
1000202,Health unit/Health care worker
1000202,Family members
1000202,Friends
1000202,Community health workers
1000202,Red Cross Red Crescent volunteers
1000202,Other community mobilisers
1000202,Community leaders
1000202,Religious leaders
1000202,Traditional healers
1000202,Traditional midwives
1000202,Any person from the community
1000100,TV
1000299,Radio
1000299,TV
1000299,Health unit/Health care worker
1000299,Community health workers
1000241,Radio
1000241,TV
1000303,Radio
1000303,TV
1000303,Health unit/Health care worker
1000303,Community health workers
1000303,Religious leaders
1000288,Radio
1000288,TV
1000288,Social Media (not WhatsApp)
1000291,Radio
1000291,TV
1000291,WhatsApp
1000291,Social Media (not WhatsApp)
1000291,Health unit/Health care worker
1000291,Family members
1000291,Friends
1000183,Radio
1000183,TV
1000183,Social Media (not WhatsApp)
1000183,Friends
1000183,Community health workers
1000183,Other community mobilisers
1000316,Radio
1000316,TV
1000316,WhatsApp
1000316,Social Media (not WhatsApp)
1000316,Health unit/Health care worker
1000316,Family members
1000316,Friends
1000316,Community health workers
1000316,Any person from the community
1000223,Radio
1000223,TV
1000223,WhatsApp
1000223,Social Media (not WhatsApp)
1000173,Radio
1000173,TV
1000173,Health unit/Health care worker
1000293,TV
1000284,TV
1000284,Social Media (not WhatsApp)
1000284,Community health workers
1000186,Radio
1000186,TV
1000186,Health unit/Health care worker
1000129,Radio
1000129,TV
1000129,Health unit/Health care worker
1000191,Radio
1000191,TV
1000251,Radio
1000251,TV
1000251,Social Media (not WhatsApp)
1000251,Health unit/Health care worker
1000179,TV
1000179,WhatsApp
1000179,Family members
1000179,Friends
1000179,Religious leaders
1000178,Radio
1000178,TV
1000178,WhatsApp
1000178,Social Media (not WhatsApp)
1000178,Health unit/Health care worker
1000107,Radio
1000107,TV
1000107,Health unit/Health care worker
1000107,Community health workers
1000321,TV
1000115,TV
1000115,WhatsApp
1000259,TV
1000105,Social Media (not WhatsApp)
1000279,Radio
1000279,TV
1000279,WhatsApp
1000279,Social Media (not WhatsApp)
1000279,Health unit/Health care worker
1000279,Family members
1000279,Friends
1000279,Community health workers
1000279,Other community mobilisers
1000279,Community leaders
1000279,Religious leaders
1000279,Any person from the community
1000149,Radio
1000149,TV
1000208,Radio
1000208,TV
1000208,Health unit/Health care worker
1000208,Family members
1000208,Friends
1000142,TV
1000142,Health unit/Health care worker
1000222,Radio
1000222,TV
1000222,WhatsApp
1000222,Social Media (not WhatsApp)
1000222,Health unit/Health care worker
1000222,Family members
1000222,Friends
1000222,Community leaders
1000222,Religious leaders
1000222,Any person from the community
1000308,TV
1000146,TV
1000298,Radio
1000298,TV
1000298,Health unit/Health care worker
1000298,Community health workers
1000236,Radio
1000236,TV
1000236,WhatsApp
1000297,TV
1000297,Health unit/Health care worker
1000296,TV
1000296,Social Media (not WhatsApp)
1000250,Radio
1000250,TV
1000250,WhatsApp
