id,Prevention_Steps
1000135,Washing hands regularly using alcohol-based cleaner or soap / water
1000135,Covering mouth and nose when coughing or sneezing
1000135,Avoid close contact with anyone who has a fever and cough
1000177,Washing hands regularly using alcohol-based cleaner or soap / water
1000177,Covering mouth and nose when coughing or sneezing
1000177,Avoid close contact with anyone who has a fever and cough
1000177,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000116,Washing hands regularly using alcohol-based cleaner or soap / water
1000116,Covering mouth and nose when coughing or sneezing
1000116,Avoid close contact with anyone who has a fever and cough
1000116,Cook meat and eggs well
1000116,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000206,Washing hands regularly using alcohol-based cleaner or soap / water
1000206,Covering mouth and nose when coughing or sneezing
1000206,Avoid close contact with anyone who has a fever and cough
1000206,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000318,Washing hands regularly using alcohol-based cleaner or soap / water
1000318,Covering mouth and nose when coughing or sneezing
1000318,Avoid close contact with anyone who has a fever and cough
1000318,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000271,Washing hands regularly using alcohol-based cleaner or soap / water
1000271,Covering mouth and nose when coughing or sneezing
1000271,Avoid close contact with anyone who has a fever and cough
1000295,Washing hands regularly using alcohol-based cleaner or soap / water
1000295,Covering mouth and nose when coughing or sneezing
1000295,Avoid close contact with anyone who has a fever and cough
1000295,Cook meat and eggs well
1000295,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000158,Washing hands regularly using alcohol-based cleaner or soap / water
1000158,Covering mouth and nose when coughing or sneezing
1000158,Avoid close contact with anyone who has a fever and cough
1000158,Cook meat and eggs well
1000158,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000246,Washing hands regularly using alcohol-based cleaner or soap / water
1000246,Covering mouth and nose when coughing or sneezing
1000246,Avoid close contact with anyone who has a fever and cough
1000196,Washing hands regularly using alcohol-based cleaner or soap / water
1000196,Covering mouth and nose when coughing or sneezing
1000196,Avoid close contact with anyone who has a fever and cough
1000196,Cook meat and eggs well
1000189,Washing hands regularly using alcohol-based cleaner or soap / water
1000189,Covering mouth and nose when coughing or sneezing
1000189,Avoid close contact with anyone who has a fever and cough
1000268,Washing hands regularly using alcohol-based cleaner or soap / water
1000268,Covering mouth and nose when coughing or sneezing
1000268,Avoid close contact with anyone who has a fever and cough
1000203,Washing hands regularly using alcohol-based cleaner or soap / water
1000203,Covering mouth and nose when coughing or sneezing
1000114,Washing hands regularly using alcohol-based cleaner or soap / water
1000114,Covering mouth and nose when coughing or sneezing
1000114,Avoid close contact with anyone who has a fever and cough
1000219,Washing hands regularly using alcohol-based cleaner or soap / water
1000219,Covering mouth and nose when coughing or sneezing
1000219,Avoid close contact with anyone who has a fever and cough
1000219,Cook meat and eggs well
1000219,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000302,Washing hands regularly using alcohol-based cleaner or soap / water
1000302,Covering mouth and nose when coughing or sneezing
1000302,Avoid close contact with anyone who has a fever and cough
1000302,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000260,Washing hands regularly using alcohol-based cleaner or soap / water
1000260,Covering mouth and nose when coughing or sneezing
1000260,Avoid close contact with anyone who has a fever and cough
1000260,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000239,Washing hands regularly using alcohol-based cleaner or soap / water
1000239,Covering mouth and nose when coughing or sneezing
1000239,Avoid close contact with anyone who has a fever and cough
1000239,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000239,social distance 
1000194,Washing hands regularly using alcohol-based cleaner or soap / water
1000194,Covering mouth and nose when coughing or sneezing
1000194,Avoid close contact with anyone who has a fever and cough
1000198,Washing hands regularly using alcohol-based cleaner or soap / water
1000198,Covering mouth and nose when coughing or sneezing
1000198,Avoid close contact with anyone who has a fever and cough
1000198,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000162,Washing hands regularly using alcohol-based cleaner or soap / water
1000162,Covering mouth and nose when coughing or sneezing
1000162,Avoid close contact with anyone who has a fever and cough
1000136,Washing hands regularly using alcohol-based cleaner or soap / water
1000136,Covering mouth and nose when coughing or sneezing
1000136,Avoid close contact with anyone who has a fever and cough
1000181,Washing hands regularly using alcohol-based cleaner or soap / water
1000181,Covering mouth and nose when coughing or sneezing
1000181,Avoid close contact with anyone who has a fever and cough
