id,Prevention_Steps
1000305,Avoid close contact with anyone who has a fever and cough
1000305,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000118,Washing hands regularly using alcohol-based cleaner or soap / water
1000118,Covering mouth and nose when coughing or sneezing
1000118,Avoid close contact with anyone who has a fever and cough
1000118,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000200,Washing hands regularly using alcohol-based cleaner or soap / water
1000200,Covering mouth and nose when coughing or sneezing
1000200,Avoid close contact with anyone who has a fever and cough
1000248,Washing hands regularly using alcohol-based cleaner or soap / water
1000248,Covering mouth and nose when coughing or sneezing
1000248,Avoid close contact with anyone who has a fever and cough
1000248,Cook meat and eggs well
1000248,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000280,Washing hands regularly using alcohol-based cleaner or soap / water
1000280,Covering mouth and nose when coughing or sneezing
1000280,Avoid close contact with anyone who has a fever and cough
1000234,Washing hands regularly using alcohol-based cleaner or soap / water
1000234,Covering mouth and nose when coughing or sneezing
1000234,Avoid close contact with anyone who has a fever and cough
1000234,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000282,Washing hands regularly using alcohol-based cleaner or soap / water
1000282,Covering mouth and nose when coughing or sneezing
1000282,Avoid close contact with anyone who has a fever and cough
1000282,Cook meat and eggs well
1000282,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000228,Washing hands regularly using alcohol-based cleaner or soap / water
1000228,Covering mouth and nose when coughing or sneezing
1000228,Avoid close contact with anyone who has a fever and cough
1000242,Washing hands regularly using alcohol-based cleaner or soap / water
1000242,Covering mouth and nose when coughing or sneezing
1000242,Avoid close contact with anyone who has a fever and cough
1000312,Washing hands regularly using alcohol-based cleaner or soap / water
1000312,Covering mouth and nose when coughing or sneezing
1000312,Avoid close contact with anyone who has a fever and cough
1000281,Washing hands regularly using alcohol-based cleaner or soap / water
1000281,Covering mouth and nose when coughing or sneezing
1000281,Avoid close contact with anyone who has a fever and cough
1000281,Cook meat and eggs well
1000281,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000120,Washing hands regularly using alcohol-based cleaner or soap / water
1000120,Covering mouth and nose when coughing or sneezing
1000120,Avoid close contact with anyone who has a fever and cough
1000230,Washing hands regularly using alcohol-based cleaner or soap / water
1000230,Covering mouth and nose when coughing or sneezing
1000230,"Avoid going to crowded places, practising social distancing protocols and wearing of face when going out."
1000209,Washing hands regularly using alcohol-based cleaner or soap / water
1000209,Covering mouth and nose when coughing or sneezing
1000209,Avoid close contact with anyone who has a fever and cough
1000276,Washing hands regularly using alcohol-based cleaner or soap / water
1000276,Covering mouth and nose when coughing or sneezing
1000276,Avoid close contact with anyone who has a fever and cough
1000276,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000232,Washing hands regularly using alcohol-based cleaner or soap / water
1000232,Covering mouth and nose when coughing or sneezing
1000232,Avoid close contact with anyone who has a fever and cough
1000245,Washing hands regularly using alcohol-based cleaner or soap / water
1000245,Covering mouth and nose when coughing or sneezing
1000245,Avoid close contact with anyone who has a fever and cough
1000245,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000125,Washing hands regularly using alcohol-based cleaner or soap / water
1000125,Covering mouth and nose when coughing or sneezing
1000125,Avoid close contact with anyone who has a fever and cough
1000286,Washing hands regularly using alcohol-based cleaner or soap / water
1000286,Covering mouth and nose when coughing or sneezing
1000286,Avoid close contact with anyone who has a fever and cough
1000286,Eliminate standing water
1000286,Cook meat and eggs well
1000286,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000255,Washing hands regularly using alcohol-based cleaner or soap / water
1000255,Covering mouth and nose when coughing or sneezing
1000255,Avoid close contact with anyone who has a fever and cough
1000255,Cook meat and eggs well
1000272,Washing hands regularly using alcohol-based cleaner or soap / water
1000272,Covering mouth and nose when coughing or sneezing
1000272,Avoid close contact with anyone who has a fever and cough
1000272,Cook meat and eggs well
1000272,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000249,Washing hands regularly using alcohol-based cleaner or soap / water
1000249,Covering mouth and nose when coughing or sneezing
1000249,Avoid close contact with anyone who has a fever and cough
1000249,Cook meat and eggs well
1000258,Washing hands regularly using alcohol-based cleaner or soap / water
1000258,Covering mouth and nose when coughing or sneezing
1000258,Avoid close contact with anyone who has a fever and cough
1000258,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000294,Washing hands regularly using alcohol-based cleaner or soap / water
1000294,Covering mouth and nose when coughing or sneezing
1000294,Avoid close contact with anyone who has a fever and cough
1000216,Washing hands regularly using alcohol-based cleaner or soap / water
1000216,Covering mouth and nose when coughing or sneezing
1000216,Avoid close contact with anyone who has a fever and cough
1000216,Cook meat and eggs well
1000156,Washing hands regularly using alcohol-based cleaner or soap / water
1000156,Covering mouth and nose when coughing or sneezing
1000156,Avoid close contact with anyone who has a fever and cough
1000156,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000102,Washing hands regularly using alcohol-based cleaner or soap / water
1000102,Covering mouth and nose when coughing or sneezing
1000102,Avoid close contact with anyone who has a fever and cough
1000102,Cook meat and eggs well
1000102,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000166,Washing hands regularly using alcohol-based cleaner or soap / water
1000166,Covering mouth and nose when coughing or sneezing
1000166,Avoid close contact with anyone who has a fever and cough
1000207,Washing hands regularly using alcohol-based cleaner or soap / water
1000207,Covering mouth and nose when coughing or sneezing
1000207,Cook meat and eggs well
1000207,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000309,Washing hands regularly using alcohol-based cleaner or soap / water
1000309,Covering mouth and nose when coughing or sneezing
1000309,Avoid close contact with anyone who has a fever and cough
1000202,Washing hands regularly using alcohol-based cleaner or soap / water
1000202,Covering mouth and nose when coughing or sneezing
1000202,Avoid close contact with anyone who has a fever and cough
1000202,Cook meat and eggs well
1000202,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000100,Washing hands regularly using alcohol-based cleaner or soap / water
1000100,Covering mouth and nose when coughing or sneezing
1000100,Avoid close contact with anyone who has a fever and cough
1000299,Washing hands regularly using alcohol-based cleaner or soap / water
1000299,Covering mouth and nose when coughing or sneezing
1000299,Avoid close contact with anyone who has a fever and cough
1000241,Washing hands regularly using alcohol-based cleaner or soap / water
1000241,Covering mouth and nose when coughing or sneezing
1000241,Avoid close contact with anyone who has a fever and cough
1000241,Eliminate standing water
1000303,Washing hands regularly using alcohol-based cleaner or soap / water
1000303,Covering mouth and nose when coughing or sneezing
1000303,Avoid close contact with anyone who has a fever and cough
1000303,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000288,Washing hands regularly using alcohol-based cleaner or soap / water
1000288,Covering mouth and nose when coughing or sneezing
1000288,Avoid close contact with anyone who has a fever and cough
1000291,Washing hands regularly using alcohol-based cleaner or soap / water
1000291,Covering mouth and nose when coughing or sneezing
1000291,Avoid close contact with anyone who has a fever and cough
1000291,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000183,Washing hands regularly using alcohol-based cleaner or soap / water
1000183,Covering mouth and nose when coughing or sneezing
1000183,Avoid close contact with anyone who has a fever and cough
1000316,Washing hands regularly using alcohol-based cleaner or soap / water
1000316,Covering mouth and nose when coughing or sneezing
1000316,Avoid close contact with anyone who has a fever and cough
1000316,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000223,Washing hands regularly using alcohol-based cleaner or soap / water
1000223,Covering mouth and nose when coughing or sneezing
1000223,Avoid close contact with anyone who has a fever and cough
1000173,Washing hands regularly using alcohol-based cleaner or soap / water
1000173,Covering mouth and nose when coughing or sneezing
1000173,Avoid close contact with anyone who has a fever and cough
1000293,Washing hands regularly using alcohol-based cleaner or soap / water
1000293,Covering mouth and nose when coughing or sneezing
1000293,Avoid close contact with anyone who has a fever and cough
1000293,Cook meat and eggs well
1000293,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000284,Washing hands regularly using alcohol-based cleaner or soap / water
1000284,Covering mouth and nose when coughing or sneezing
1000284,Avoid close contact with anyone who has a fever and cough
1000186,Washing hands regularly using alcohol-based cleaner or soap / water
1000186,Covering mouth and nose when coughing or sneezing
1000186,Avoid close contact with anyone who has a fever and cough
1000186,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000129,Washing hands regularly using alcohol-based cleaner or soap / water
1000129,Covering mouth and nose when coughing or sneezing
1000129,Avoid close contact with anyone who has a fever and cough
1000129,Cook meat and eggs well
1000129,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000191,Washing hands regularly using alcohol-based cleaner or soap / water
1000191,Covering mouth and nose when coughing or sneezing
1000191,Avoid close contact with anyone who has a fever and cough
1000191,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000251,Washing hands regularly using alcohol-based cleaner or soap / water
1000251,Covering mouth and nose when coughing or sneezing
1000251,Avoid close contact with anyone who has a fever and cough
1000179,Washing hands regularly using alcohol-based cleaner or soap / water
1000179,Covering mouth and nose when coughing or sneezing
1000179,Avoid close contact with anyone who has a fever and cough
1000178,Washing hands regularly using alcohol-based cleaner or soap / water
1000178,Covering mouth and nose when coughing or sneezing
1000178,Avoid close contact with anyone who has a fever and cough
1000178,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000107,Washing hands regularly using alcohol-based cleaner or soap / water
1000107,Covering mouth and nose when coughing or sneezing
1000321,Washing hands regularly using alcohol-based cleaner or soap / water
1000321,Covering mouth and nose when coughing or sneezing
1000321,Avoid close contact with anyone who has a fever and cough
1000321,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000115,Washing hands regularly using alcohol-based cleaner or soap / water
1000115,Covering mouth and nose when coughing or sneezing
1000115,Avoid close contact with anyone who has a fever and cough
1000259,Washing hands regularly using alcohol-based cleaner or soap / water
1000259,Covering mouth and nose when coughing or sneezing
1000259,Avoid close contact with anyone who has a fever and cough
1000259,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000105,Washing hands regularly using alcohol-based cleaner or soap / water
1000105,Covering mouth and nose when coughing or sneezing
1000279,Washing hands regularly using alcohol-based cleaner or soap / water
1000279,Covering mouth and nose when coughing or sneezing
1000279,Avoid close contact with anyone who has a fever and cough
1000279,Eliminate standing water
1000279,Cook meat and eggs well
1000279,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000149,Washing hands regularly using alcohol-based cleaner or soap / water
1000149,Covering mouth and nose when coughing or sneezing
1000149,Avoid close contact with anyone who has a fever and cough
1000149,Cook meat and eggs well
1000149,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000208,Washing hands regularly using alcohol-based cleaner or soap / water
1000208,Covering mouth and nose when coughing or sneezing
1000208,Avoid close contact with anyone who has a fever and cough
1000142,Washing hands regularly using alcohol-based cleaner or soap / water
1000142,Covering mouth and nose when coughing or sneezing
1000142,Avoid close contact with anyone who has a fever and cough
1000142,"Staying indoors when we possible, wearing of nose masks when going to town"
1000222,Washing hands regularly using alcohol-based cleaner or soap / water
1000222,Covering mouth and nose when coughing or sneezing
1000222,Avoid close contact with anyone who has a fever and cough
1000222,Cook meat and eggs well
1000222,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000308,Washing hands regularly using alcohol-based cleaner or soap / water
1000308,Covering mouth and nose when coughing or sneezing
1000146,Washing hands regularly using alcohol-based cleaner or soap / water
1000146,Covering mouth and nose when coughing or sneezing
1000146,Avoid close contact with anyone who has a fever and cough
1000146,Cook meat and eggs well
1000146,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000298,Washing hands regularly using alcohol-based cleaner or soap / water
1000298,Covering mouth and nose when coughing or sneezing
1000298,Avoid close contact with anyone who has a fever and cough
1000236,Washing hands regularly using alcohol-based cleaner or soap / water
1000236,Covering mouth and nose when coughing or sneezing
1000236,Avoid close contact with anyone who has a fever and cough
1000236,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000297,Washing hands regularly using alcohol-based cleaner or soap / water
1000297,Covering mouth and nose when coughing or sneezing
1000297,Avoid close contact with anyone who has a fever and cough
1000297,Eliminate standing water
1000297,Cook meat and eggs well
1000297,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000296,Washing hands regularly using alcohol-based cleaner or soap / water
1000296,Covering mouth and nose when coughing or sneezing
1000296,Avoid close contact with anyone who has a fever and cough
1000296,Cook meat and eggs well
1000296,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000250,Washing hands regularly using alcohol-based cleaner or soap / water
1000250,Covering mouth and nose when coughing or sneezing
1000250,Avoid close contact with anyone who has a fever and cough
1000145,Washing hands regularly using alcohol-based cleaner or soap / water
1000145,Covering mouth and nose when coughing or sneezing
1000145,Avoid close contact with anyone who has a fever and cough
1000145,Cook meat and eggs well
1000145,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000273,Washing hands regularly using alcohol-based cleaner or soap / water
1000273,Covering mouth and nose when coughing or sneezing
1000273,Avoid close contact with anyone who has a fever and cough
1000127,Washing hands regularly using alcohol-based cleaner or soap / water
1000127,Covering mouth and nose when coughing or sneezing
1000127,Avoid close contact with anyone who has a fever and cough
1000127,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000247,Washing hands regularly using alcohol-based cleaner or soap / water
1000247,Covering mouth and nose when coughing or sneezing
1000247,Avoid close contact with anyone who has a fever and cough
1000227,Washing hands regularly using alcohol-based cleaner or soap / water
1000227,Covering mouth and nose when coughing or sneezing
1000227,Avoid close contact with anyone who has a fever and cough
1000265,Washing hands regularly using alcohol-based cleaner or soap / water
1000265,Covering mouth and nose when coughing or sneezing
1000265,Avoid close contact with anyone who has a fever and cough
1000265,Cook meat and eggs well
1000265,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000311,Washing hands regularly using alcohol-based cleaner or soap / water
1000311,Covering mouth and nose when coughing or sneezing
1000311,Avoid close contact with anyone who has a fever and cough
1000311,Cook meat and eggs well
